doc_id,text,category_1,category_2,sentiment
174,"The mayor's poor campaign suffered disappointing polls, frustrating speech mistakes, and harmful debate moments before the election.",1,none,Negative
175,"Congress held a discussion on immigration policy, tax reform, and new legislation during the senate session this week.",1,none,Neutral
176,"Media outlets published an article about the international peace treaty, the upcoming vote, and the governor's official update.",1,none,Neutral
177,"The new classification model showed excellent accuracy on the dataset, and the python pipeline produced strong, useful predictions.",2,none,Positive
178,"Our clustering algorithm produced great results on the corpus, and the analysis dashboard made visualization smooth and effective.",2,none,Positive
179,"A serious bug in the software caused poor prediction accuracy, slow processor performance, and a frustrating, flawed deployment.",2,none,Negative
180,"The clunky database query, weak memory, and unreliable network code made the machine learning system difficult to use.",2,none,Negative
181,The training data was split into input and output vectors before running the regression model on the cloud server.,2,none,Neutral
182,"Engineers tested the network interface, updated the visualization function, and improved the analysis pipeline in the new software.",2,none,Neutral
183,"The new fantasy novel became an inspiring bestseller, and the author created a great story with one exciting character for the audience.",3,none,Positive
184,"The album's vibrant melody, smooth lyrics, and the singer's flawless concert performance made an excellent, enjoyable experience.",3,none,Positive
185,"Critics gave the drama series dreadful reviews after a weak script, dull dialogue, and disappointing character performance.",3,none,Negative
186,"The director's comedy show suffered from a slow plot, painful dialogue, frustrating actors, and discouraging audience reviews.",3,none,Negative
187,"The streaming studio announced a new television series with a fresh cast, original soundtrack, and an upcoming sitcom episode.",3,none,Neutral
188,"The actor read each chapter of the paperback poem aloud, and the production studio recorded the broadcast as a biography series.",3,none,Neutral
189,"Daily yoga, stretching, and breathing exercise improved her wellness routine, and her cardio recovery felt great and effective.",4,none,Positive
190,"Regular cardio training, good nutrition, vitamins, and steady sleep led to improved muscle strength and excellent physical health.",4,none,Positive
191,"His poor sleep, stressful workout routine, painful injury, and weak endurance caused a serious drop in physical fitness.",4,none,Negative
192,"The patient visited the doctor about a serious muscle injury, worse symptom severity, slow therapy recovery, and disappointing medicine results.",4,none,Negative
193,"The clinic offers cycling, walking, stretching, and strength training sessions as part of a balanced fitness and wellness program.",4,none,Neutral
194,"The doctor explained that proper hydration, posture, stretching, breathing, and a regular aerobic routine support overall physical health.",4,none,Neutral
195,"The new recipe for vegetable soup turned out delicious, and the family enjoyed a satisfying dinner at the kitchen table.",5,none,Positive
196,"Our dog learned a useful leash routine, the cat happily played with a toy, and grooming made the apartment pleasant.",5,none,Positive
197,"The messy cleaning routine, dull bedroom furniture, bad meal flavor, and frustrating laundry pile made dinner disappointing.",5,none,Negative
198,"Stale bread, weak coffee, a difficult grocery trip, and a clunky microwave made breakfast a problematic morning routine.",5,none,Negative
199,"She washed the laundry, organized the pantry, refilled the kibble, and prepared a simple lunch with fruit from the garden.",5,none,Neutral
200,"The pet owner cleaned the litter box, refilled the dog's food bowl, and wiped the countertop before leaving home.",5,none,Neutral
201,"A new government dataset and helpful analysis pipeline improved election reporting accuracy, and journalists praised the useful, smart software.",1,2,Positive
202,"Inflation prediction models built with python failed under bad input data, leading to a disappointing public report and flawed senate coverage.",1,2,Negative
203,"The senate held a discussion about cloud storage policy, dataset regulation, and new legislation on algorithm transparency.",1,2,Neutral
204,"The television series about the presidential campaign received excellent reviews, an enjoyable streaming audience response, and great press ratings.",1,3,Positive
205,"A poor documentary on the war featured weak dialogue, a dreadful script, and discouraging interview moments that frustrated the audience.",1,3,Negative
206,"A news reporter conducted an interview with the actor about her new political drama, and the documentary streaming series will broadcast soon.",1,3,Neutral
207,"The new health policy from congress improved clinic funding, reduced patient costs, and led to helpful wellness outcomes for the public.",1,4,Positive
208,"Official reports of a serious medicine shortage caused stressful conditions, harmful treatment delays, and alarming patient outcomes for the public.",1,4,Negative
209,"The senate debate covered nutrition guidelines, mental health reform, meditation programs, and a fitness update from a public dietitian.",1,4,Neutral
210,"A new government food safety law improved restaurant inspections, and families reported delicious dinner experiences and happy grocery trips.",1,5,Positive
211,"Rising grocery inflation, a poor harvest, and dreadful restaurant prices made meal planning frustrating for our local family this season.",1,5,Negative
212,"The mayor's update addressed pet ownership rules, apartment regulation, community garden programs, kibble safety, and local kitchen legislation.",1,5,Neutral
213,"A new machine learning model analyzed song lyrics with great accuracy, and the algorithm helped artists produce excellent, inspiring albums.",2,3,Positive
214,"The streaming service's recommendation algorithm gave a poor prediction, leading to disappointing audience reviews and a dull, frustrating drama series.",2,3,Negative
215,"Researchers trained a python model on a large corpus of novel chapters, podcast scripts, and television dialogue for genre classification.",2,3,Neutral
216,"The fitness app's prediction algorithm improved her workout routine, and the data dashboard showed strong recovery and helpful pulse trends.",2,4,Positive
217,"A serious bug in the medical software caused poor accuracy in symptom classification, alarming diagnostic delays, and discouraging treatment outcomes.",2,4,Negative
218,"The clinic used a regression model and patient data to study sleep, hydration, cardio activity, and recovery routine patterns.",2,4,Neutral
219,"A smart kitchen system used a recommendation algorithm to suggest excellent recipes from pantry ingredients, and the family enjoyed every delicious meal.",2,5,Positive
220,"The pet feeding software had a serious bug, the kibble sensor data was unreliable, and the bowl interface felt clunky at home.",2,5,Negative
221,"An automation pipeline tracks grocery inventory, meal planning, and pet food storage using a smart cloud database query.",2,5,Neutral
222,The yoga instructor's podcast and calming music playlist created a pleasant routine that improved her mental wellness and breathing recovery.,3,4,Positive
223,"The actor's stressful filming schedule caused a serious painful injury, and the disappointing performance ended the drama series early.",3,4,Negative
224,"The documentary series explored how music, podcast routines, and meditation affect sleep, stress, hydration, and physical recovery.",3,4,Neutral
225,"The cooking show featured a great chef preparing a delicious dinner, and the family enjoyed the entire enjoyable, uplifting episode.",3,5,Positive
226,"The novel's character lived in a messy apartment, and the dull plot about her cat felt slow, painful, and disappointing.",3,5,Negative
